date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:49:35	6905/6905	---M--	200	added ('OK')	image/png	etag:%221af9-562a9b68bd1b7%22	http://html.iwthemes.com/sportscup/run/img/sponsors/1.png	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/sponsors/1.png	(from http://html.iwthemes.com/sportscup/run/index-4.html)
08:49:36	489/489	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Nov%202019%2013:49:48%20GMT	http://html.iwthemes.com/sportscup/run/img/icons/favicon.ico	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/icons/favicon.ico	(from http://html.iwthemes.com/sportscup/run/)
08:49:40	7154/7154	---M--	200	added ('OK')	image/png	etag:%221bf2-562a9b692c6fa%22	http://html.iwthemes.com/sportscup/run/img/sponsors/3.png	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/sponsors/3.png	(from http://html.iwthemes.com/sportscup/run/index-4.html)
08:49:43	5522/5522	---M--	200	added ('OK')	image/png	etag:%221592-562a9b69a587e%22	http://html.iwthemes.com/sportscup/run/img/sponsors/5.png	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/sponsors/5.png	(from http://html.iwthemes.com/sportscup/run/index-4.html)
08:49:43	1831/1831	---M--	200	added ('OK')	image/png	etag:%22727-5651ea0dd63cd%22	http://html.iwthemes.com/sportscup/run/img/logo-light.png	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/logo-light.png	(from http://html.iwthemes.com/sportscup/run/index-5.html)
08:49:51	1199/1199	---M--	200	added ('OK')	image/jpeg	etag:%224af-562a9b6c26290%22	http://html.iwthemes.com/sportscup/run/img/testimonials/1.jpg	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/testimonials/1.jpg	(from http://html.iwthemes.com/sportscup/run/index-5.html)
08:49:51	1210/1210	---M--	200	added ('OK')	image/jpeg	etag:%224ba-562a9b6c2a110%22	http://html.iwthemes.com/sportscup/run/img/testimonials/2.jpg	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/testimonials/2.jpg	(from http://html.iwthemes.com/sportscup/run/index-5.html)
08:50:02	1193/1193	---M--	200	added ('OK')	image/jpeg	etag:%224a9-562a9b6c928f3%22	http://html.iwthemes.com/sportscup/run/img/testimonials/3.jpg	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/testimonials/3.jpg	(from http://html.iwthemes.com/sportscup/run/index-5.html)
08:50:03	1210/1210	---M--	200	added ('OK')	image/jpeg	etag:%224ba-562a9b6c9e474%22	http://html.iwthemes.com/sportscup/run/img/testimonials/4.jpg	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/testimonials/4.jpg	(from http://html.iwthemes.com/sportscup/run/index-5.html)
08:50:20	76543/-1	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%22957d-562a9b2304564%22	http://html.iwthemes.com/sportscup/run/img/adds/banner.jpg	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/adds/banner.jpg	(from http://html.iwthemes.com/sportscup/run/)
